name,name_en,gov,adm_level,place_type,lat,lon
الخصوص,Al Khusus,,,village,30.1597348,31.314222
عرب العليقات البحرية,Arab al Aliqat al Bahriyah,,,village,30.2827663,31.3464749
المناشي,Al Manashi,,,village,30.1758274,31.1202689
القناطر الخيرية,Al Qanatir al Khairiya,,,town,30.1966159,31.133908
بهرمس,Baharmis,,,village,30.1667311,31.1082735
كفر حجازي,Kafr Higazi,,,village,30.1999328,31.0638561
سقيل,Siqeiz,,,village,30.1335832,31.1660654
الأخميين,Al Akhmiyin,,,village,30.1690804,31.1704049
أوسيم,Ouseem,,,village,30.1225001,31.133611
الرودة,Al Roda,,,village,27.8003229,30.8609387
دير أبو حنس,Dayr Abu Hinnis,,,village,27.7875,30.903056
الشيخ عبادة,Al Sheikh Ibada,,,village,27.8059794,30.8740705
الحسانية,Al Hisaniyah,,,village,27.920254,30.7372575
بني حسن,Bani Hassan,,,village,27.906389,30.861389
تونة الجبل,Tuna al Gabal,,,village,27.775,30.740278
الأشمونين,Hermupolis,,,village,27.775556,30.803333
العرين قبلي,Al Arin Qibli,,,village,27.7555183,30.7530491
مكين,Makein,,,village,27.8630873,30.8290307
دير البرشا,Dayr al Barsha,,,village,27.755278,30.904722
ديروط أم نخلة,Dairut Umm Nakhla,,,village,27.7350007,30.762839
ساقية موسى,Saqyet Musa,,,village,27.8671965,30.8146205
منشأة المغالقة,Minshat al Maghaliqah,,,village,27.7427444,30.7874935
المعصرة,Al Masarah,,,village,27.7053765,30.8693921
سنجرج,Singirg,,,village,27.7018826,30.796562
ملوي,Mallawi,,,town,27.731944,30.8411109
أم قمص,Umm Qummus,,,village,27.7169542,30.7962262
بني خلد,Beni Khalid,,,village,27.8404032,30.739575
دروة,Dirwa,,,village,27.7219951,30.744381
زاوية نوح,Zawia Etnooh,,,village,31.1705373,27.6649538
هوارة المقطع,Hauwaret al Maqta,,,village,29.2568997,30.8982174
أبجيج,Abgig,,,village,29.286117,30.815168
المندرة,Al Mandarah,,,village,29.3282548,30.808508
الفيوم,Faiyum,,,city,29.3074076,30.8399651
منشأة فتيح,Minshaat Futayh,,,village,29.3172056,30.8071849
السنباط,Al-Sumbat,,,village,29.325833,30.777778
